matchNumber,alliance,teamNumber
67,blueAlliance,2722
67,blueAlliance,1923
67,blueAlliance,222
68,redAlliance,103
68,redAlliance,293
68,redAlliance,1279
68,blueAlliance,555
68,blueAlliance,5438
68,blueAlliance,7110
69,redAlliance,75
69,redAlliance,5401
69,redAlliance,484
69,blueAlliance,1218
69,blueAlliance,6226
69,blueAlliance,9015
70,redAlliance,555
70,redAlliance,2495
70,redAlliance,4361
70,blueAlliance,4285
70,blueAlliance,4573
70,blueAlliance,365
71,redAlliance,7414
71,redAlliance,5992
71,redAlliance,1640
71,blueAlliance,1807
71,blueAlliance,1403
71,blueAlliance,3314
72,redAlliance,2191
72,redAlliance,3637
72,redAlliance,1676
72,blueAlliance,3142
72,blueAlliance,293
72,blueAlliance,5684
73,redAlliance,9027
73,redAlliance,1279
73,redAlliance,2607
73,blueAlliance,714
73,blueAlliance,341
73,blueAlliance,5181
74,redAlliance,102
74,redAlliance,7110
74,redAlliance,1811
74,blueAlliance,1089
74,blueAlliance,4342
74,blueAlliance,219
75,redAlliance,222
75,redAlliance,7045
75,redAlliance,9094
75,blueAlliance,11
75,blueAlliance,427
75,blueAlliance,321
76,redAlliance,316
76,redAlliance,1168
76,redAlliance,1257
76,blueAlliance,2720
76,blueAlliance,103
76,blueAlliance,223
77,redAlliance,2722
77,redAlliance,75
77,redAlliance,1391
77,blueAlliance,56
77,blueAlliance,8513
77,blueAlliance,5401
78,redAlliance,6226
78,redAlliance,2539
78,redAlliance,1923
78,blueAlliance,5895
78,blueAlliance,484
78,blueAlliance,2590
79,redAlliance,1403
79,redAlliance,4361
79,redAlliance,1391
79,blueAlliance,11
79,blueAlliance,9094
79,blueAlliance,6226
80,redAlliance,834
80,redAlliance,272
80,redAlliance,9015
80,blueAlliance,5438
80,blueAlliance,6921
80,blueAlliance,1218
81,redAlliance,1640
81,redAlliance,5684
81,redAlliance,2495
81,blueAlliance,5181
81,blueAlliance,555
81,blueAlliance,7414
82,redAlliance,4361
82,redAlliance,4285
82,redAlliance,3142
82,blueAlliance,219
82,blueAlliance,2607
82,blueAlliance,1403
83,redAlliance,3637
83,redAlliance,222
83,redAlliance,321
83,blueAlliance,7110
83,blueAlliance,1279
83,blueAlliance,2191
84,redAlliance,4342
84,redAlliance,2720
84,redAlliance,9094
84,blueAlliance,223
84,blueAlliance,3314
84,blueAlliance,9027
85,redAlliance,1391
85,redAlliance,102
85,redAlliance,714
85,blueAlliance,1811
85,blueAlliance,2722
85,blueAlliance,7045
86,redAlliance,341
86,redAlliance,1257
86,redAlliance,75
86,blueAlliance,11
86,blueAlliance,5895
86,blueAlliance,5401
87,redAlliance,427
87,redAlliance,272
87,redAlliance,56
87,blueAlliance,1807
87,blueAlliance,316
87,blueAlliance,2590
88,redAlliance,6226
88,redAlliance,484
88,redAlliance,4573
88,blueAlliance,6921
88,blueAlliance,834
88,blueAlliance,103
89,redAlliance,9015
89,redAlliance,5438
89,redAlliance,1923
89,blueAlliance,365
89,blueAlliance,1676
89,blueAlliance,1089
90,redAlliance,316
90,redAlliance,3637
90,redAlliance,427
90,blueAlliance,1811
90,blueAlliance,9015
90,blueAlliance,219
91,redAlliance,1218
91,redAlliance,2539
91,redAlliance,8513
91,blueAlliance,1168
91,blueAlliance,5992
91,blueAlliance,293
92,redAlliance,1279
92,redAlliance,2720
92,redAlliance,222
92,blueAlliance,9094
92,blueAlliance,7414
92,blueAlliance,3142
93,redAlliance,1391
93,redAlliance,2191
93,redAlliance,5181
93,blueAlliance,2495
93,blueAlliance,7110
93,blueAlliance,4285
94,redAlliance,1811
94,redAlliance,11
94,redAlliance,4361
94,blueAlliance,5401
94,blueAlliance,3314
94,blueAlliance,5684
95,redAlliance,7045
