matchNumber,alliance,scouterInitials,selectTeam,startPoses0,startPoses1,startPoses2,startPoses3,startPoses4,startPoses5,autoCoralPlaceL1Count,autoCoralPlaceL2Count,autoCoralPlaceL3Count,autoCoralPlaceL4Count,autoCoralPlaceDropMissCount,autoCoralPickPreloadCount,autoCoralPickStationCount,autoCoralPickMark1Count,autoCoralPickMark2Count,autoCoralPickMark3Count,autoAlgaePlaceNetShot,autoAlgaePlaceProcessor,autoAlgaePlaceDropMiss,autoAlgaePickReefCount,autoAlgaePickMark1Count,autoAlgaePickMark2Count,autoAlgaePickMark3Count,autoPassedStartLine,teleopCoralPlaceL1Count,teleopCoralPlaceL2Count,teleopCoralPlaceL3Count,teleopCoralPlaceL4Count,teleopCoralPlaceDropMissCount,teleopCoralPickStationCount,teleopCoralPickCarpetCount,teleopAlgaePlaceNetShot,teleopAlgaePlaceProcessor,teleopAlgaePlaceDropMiss,teleopAlgaePickReefCount,teleopAlgaePickCarpetCount,shallowClimbAttempted,deepClimbAttempted,parkAttempted,climbFailed,playedDefense,brokeDown,comment
15,blueAlliance,JP,316,false,true,false,false,false,false,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,true,1,2,2,3,2,10,0,0,0,1,1,0,false,false,false,false,false,false,Definitely some drive team issues with moving the robot while the arms are up.  Almost tipped over.  Missed some auton L4 attempts due to the aforementioned balancing issue.
16,blueAlliance,JP,222,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,5,2,0,0,7,0,0,2,1,1,2,false,false,false,false,false,false,"They really love L2, robot uses giant arm swing method (like nemesis)"
17,blueAlliance,JP,1712,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,true,0,0,0,0,0,0,0,0,7,3,3,7,false,false,false,false,false,false,Algae bounces out of machine b/c robot moves too fast.
18,blueAlliance,JP,5992,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,2,6,0,5,13,0,0,0,0,0,0,false,false,false,false,false,false,"Mediocre shooting ability, drive team issue.  Robot is dodging station coral :skull:"
19,blueAlliance,JP,1168,false,true,false,false,false,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,0,3,3,4,0,10,0,0,0,0,0,0,false,true,false,true,false,false,Takes a bit of time to aim and shoot coral but 100% accuracy.  Was climbed for a bit but then dropped down
20,blueAlliance,JP,1403,false,false,false,true,false,false,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,true,0,0,0,8,0,8,0,1,0,1,2,0,false,true,false,false,false,false,"L4 beast, auton sacrifices accuracy for speed"
21,blueAlliance,JP,7045,false,false,true,false,false,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,1,0,0,1,2,4,0,0,0,0,0,0,false,false,true,false,true,false,"Defense felt more like a game of cat and mouse, robot chases enemy rather than defend against them, pretty inaccurate"
22,blueAlliance,JP,4342,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,7,1,0,8,false,true,false,false,false,false,Locking algae up into the processor
23,blueAlliance,JP,834,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,5,1,3,1,1,11,0,0,0,0,0,0,false,true,false,false,false,false,"Slow and steady wins the race, takes their time and is mostly accurate, miss in L4"
24,blueAlliance,JP,2590,false,true,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,2,0,0,4,2,8,0,0,0,2,2,0,false,true,false,true,false,false,"Climb did not take robot off ground, has trouble scoring, method is placing coral into slot with arm but arm isn't aligned with placement and coral is dropped into the abyss (aka missing)."
25,blueAlliance,MTAT,10143,false,false,true,false,false,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,true,false,"kitbot, only played defense after auton, didnt work because their bot was too light. Not upset just dissapointed"
26,blueAlliance,MTAT,321,true,false,false,false,false,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,4,5,0,9,0,0,0,0,0,0,false,false,true,false,false,false,
27,blueAlliance,EL,7414,false,false,true,false,false,false,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,true,0,0,0,0,1,1,0,0,0,0,0,0,false,false,true,false,true,false,
28,blueAlliance,MTAT,223,true,false,false,false,false,false,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,1,1,2,0,5,1,0,2,4,false,false,true,false,false,false,
